ins_code;local;puesto;cliente
161;UNIDAD EDUCATIVA SAN ESTEBAN;puesto 1;jbgye
;BDS-MACHALA;puesto 1;loteria
;BDS-MACHALA;ELIMINAR;
;CC. LAS AMERICAS;CONDOMINIO;jbgye
;CC. LAS AMERICAS;GARITA;jbgye
;CC. PLAZA CEIBOS;INSTALACION;ELIMINAR
;CC. PLAZA CEIBOS;RONDAS;ELIMINAR
;CC. PLAZA ORELLANA;CC. TERMINAL;ELIMINAR
;CC. PLAZA ORELLANA;PARQUEADERO ACCESO;jbgye
;CC. PLAZA ORELLANA;RONDAS N;ELIMINAR
;CC. TERMINAL;CC. TERMINAL;ELIMINAR
;CC. TERMINAL;Galarmobil ;
;CC. TERMINAL;INSTALACION;ELIMINAR
;CC. TERMINAL;TERRENO VALDIO;jbgye
;CIUDAD DEPORTIVA;puesto 1;jbgye
;CIUDAD DEPORTIVA;RONDAS N;ELIMINAR
;CONDOMINIO;CIUDAD DEPORTIVA;ELIMINAR
;CONDOMINIO;CONDOMINIO;ELIMINAR
;GARZOCENTRO;;ELIMINAR
;GARZOCENTRO;ALA CENTRO;jbgye
;GARZOCENTRO;ALA NORTE;jbgye
;GARZOCENTRO;ALA SUR;jbgye
;GARZOCENTRO;PATIO COMIDAS;jbgye
;GARZOCENTRO;RONDAS;ELIMINAR
;PDS 09 DE OCTUBRE 427;puesto 1;loteria
;LOTERIA MATRIZ;GARITA PRINCIPAL 1;loteria
;LOTERIA MATRIZ;GARTA # 2;loteria
;LOTERIA MATRIZ;RONDAS;ELIMINAR
;PDS-LOTERIA;09 DE OCTUBRE 427;ELIMINAR
;PDS 09 DE OCTUBRE BOULEVART;puesto 1;loteria
;PDS ALBOTEC;puesto 1;loteria
;PDS-BOYACA;puesto 1;loteria
;PDS PLAZA DE LA SUERTE;puesto 1;loteria
;PDS-PORTETE;puesto 1;loteria
;PDS-LOTERIA;SANTISTEVAN;ELIMINAR
;SANTISTEVAN;GARITA;jbgye
;SANTISTEVAN;SANTISTEVAN;ELIMINAR
;ASILO BIEN PUBLICO;ASILO BIEN PUBLICO;
;ASILO BIEN PUBLICO;Control de acceso;
;CEMENTERIO GENERAL;PUESTO 1;jbgye
;CEMENTERIO GENERAL;Edificio ADM Sala de Velaciones;jbgye
;CEMENTERIO GENERAL;PUERTA #15;jbgye
;CEMENTERIO GENERAL;Parqueo Sala de Velaciones;jbgye
;CEMENTERIO GENERAL;Puerta #1;jbgye
;CEMENTERIO GENERAL;Puerta #10;jbgye
;CEMENTERIO GENERAL;Puerta #6;jbgye
;CEMENTERIO GENERAL;Puerta# 8;jbgye
;CEMENTERIO GENERAL;Ronda;ELIMINAR
;CEMENTERIO GENERAL;Sala Especial y Puerta #3;jbgye
;CEMENTERIO GENERAL;Sala Exclusiva;jbgye
;CEMENTERIO GENERAL;Sala Oratoria;jbgye
;CEMENTERIO GENERAL;Sala Solidaria;jbgye
;CENTRO RECREACIONAL;Control de acceso;jbgye
;FLOTANTE;MARILLAC;ELIMINAR
;HOGAR CALDERON AYLUARDO;Control de acceso;jbgye
;HOGAR CALDERON AYLUARDO;GARITA;jbgye
;HOGAR CORAZON JESUS;GARITA;jbgye
;HOGAR CORAZON JESUS;PUERTA #15;jbgye
;TERRENO LA ROCA;puesto 1;jbgye
;MAPFRE;MARILLAC;ELIMINAR
;MARILLAC;ASILO BIEN PUBLICO;ELIMINAR
;MARILLAC;MARILLAC;ELIMINAR
;PANTEON METROPOLITANO;GARITA;jbgye
;TERRENO LA ROCA;LA ROCA;ELIMINAR
;TERRENO LA ROCA;MARILLAC;ELIMINAR
;ED. JOSE M. SAENZ;Ascensor privado;jbgye
;ED. JOSE M. SAENZ;Control de acceso;jbgye
;H. LUIS VERNAZA;;ELIMINAR
;H. LUIS VERNAZA;CADENA DE EMERGENCIA;jbgye
;H. LUIS VERNAZA;CONSULTA EXTERNA;jbgye
;H. LUIS VERNAZA;GARITA # 1 INFORMACION;jbgye
;H. LUIS VERNAZA;INGRESO PEATONAL COLABORADORES;jbgye
;H. LUIS VERNAZA;INGRESO VEHICULAR;jbgye
;H. LUIS VERNAZA;INGRESO Y SALIDA  VEHICULAR CLINICA;jbgye
;H. LUIS VERNAZA;PUERTA PRINCIPAL  CLINICA SOTOMAYOR;jbgye
;H. LUIS VERNAZA;RO NDA GENERAL CONSULTA EXTERNA;jbgye
;H. LUIS VERNAZA;RONDA GENERAL;jbgye
;OFICINA CENTRAL;Ascensor privado;jbgye
;OFICINA CENTRAL;CONSULTA EXTERNA;jbgye
;OFICINA CENTRAL;Control accesos Ascensor;jbgye
;DHL MECANOS;puesto 1;DHL
;H. ALFREDO PAULSON;;ELIMINAR
;H. ROBERTO GILBERT;;ELIMINAR
;NEUROCIENCIAS;;ELIMINAR
;NEUROCIENCIAS;CONSULTA EXTERNA;
;NEUROCIENCIAS;CONTROL GARITA PRINCIPAL;
;CHILENITA;puesto 1;CHILENITA
;DURAN;;ELIMINAR
;NARANJAL;;ELIMINAR
;NOBOL;;ELIMINAR
;PLAYAS;;ELIMINAR
;TRIUNFO;;ELIMINAR
;SEMEDIC;1P 12 L-D;ELIMINAR
;SEMEDIC;1P 12H L-D;ELIMINAR
;SEMEDIC;1P 24H L-D;ELIMINAR
;SEMEDIC;A;ELIMINAR
;SEMEDIC;D;ELIMINAR
;SEMEDIC;N;ELIMINAR
;SEMEDIC;T;ELIMINAR
;SEMEDIC;X;ELIMINAR
;LOC.;CANTIDAD;ELIMINAR
;LOC.;MES;ELIMINAR
